iso_3,name,status,src_url,src_date,src_update,src_name,src_name1,src_lic
TUN,Tunisia,Preparedness,https://data.humdata.org/dataset/tunisia-population-statistics-0,2013-01-01,2018-08-15," Institut National de la Statistique, Statistiques de l'Etat Civil",OCHA ROMENA,Other
TUR,Turkey,Operational,https://data.humdata.org/dataset/turkey-subnational-population-statistics,2021-06-24,2021-06-24,Türkiye İstatistik Kurumu Başkanlığı (TÜİK),UNFPA,Creative Commons Attribution for Intergovernmental Organisations
TZA,United Republic of Tanzania,Preparedness,https://data.humdata.org/dataset/tanzania-administrative-levels-0-3-population-statistics,2018-10-22,2021-05-19,UNFPA,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
UGA,Uganda,Preparedness,https://data.humdata.org/dataset/uganda-administrative-level-population-statistics,2020-06-11,2021-03-01,Uganda Bureau of Statistics,OCHA ROSEA,Creative Commons Attribution for Intergovernmental Organisations
UKR,Ukraine,Operational,,,,,,
URY,Uruguay,Preparedness,https://data.humdata.org/dataset/uruguay-subnational-population-statistics,2020-06-17,2020-07-22,Instituto Nacional de Estadística,OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
UZB,Uzbekistan,Preparedness,https://data.humdata.org/dataset/uzbekistan-administrative-level-0-1-population-statistics-and-level-0-2-gazetteer,2018-07-12,2019-11-10,Uzbek government,OCHA FISS,Creative Commons Attribution for Intergovernmental Organisations
VCT,Saint Vincent and The Grenadines,Preparedness,https://data.humdata.org/dataset/saint-vincent-and-the-grenadines-subnational-population-statistics,2020-01-01,2021-02-05,OCHA ROLAC,OCHA FISS,Creative Commons Attribution for Intergovernmental Organisations
VEN,Venezuela (Bolivarian Republic of),Operational,https://data.humdata.org/dataset/venezuela-administrative-level-0-1-2-and-3-population-statistics-and-gazeteer,2020-07-23,2021-02-24,Instituto Nacional de Estadística (INE),OCHA Venezuela,Creative Commons Attribution for Intergovernmental Organisations
VGB,British Virgin Islands,Preparedness,https://data.humdata.org/dataset/british-virgin-islands-administrative-level-0-1-population-statistics,2020-04-01,2020-04-01,Government of the Virgin Islands ‘Virgin Islands Population and Housing Census Report for 2010’,OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
VIR,United States Virgin Islands,Preparedness,https://data.humdata.org/dataset/united-states-virgin-islands-administrative-level-0-2-disaggregated-population-statistics,2019-11-04,2019-11-04,United States Bureau of the Census,OCHA ROLAC,Creative Commons Attribution for Intergovernmental Organisations
VNM,Viet Nam,Preparedness,https://data.humdata.org/dataset/viet-nam-administrative-level-0-2-2009-population-statistics,2021-07-08,2021-07-08,UNFPA and General Statistics Office of Viet Nam,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
VUT,Vanuatu,Preparedness,https://data.humdata.org/dataset/vanuatu-administrative-level-0-1-and-2-population-statistics,2017-11-09,2020-04-06,Vanuatu National Statistics Office (VNSO) 2009 Census,OCHA ROP,Creative Commons Attribution for Intergovernmental Organisations
YEM,Yemen,Operational,,,,,,
ZAF,South Africa,Preparedness,https://data.humdata.org/dataset/south-africa-administrative-levels-0-3-population-statistics,2021-06-04,2021-06-04,Statistics South Africa 2016 Community Survey Population,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
ZMB,Zambia,Preparedness,https://data.humdata.org/dataset/zambia-subnational-population-statistics,2021-04-01,2021-04-01,UNFPA,UNFPA,Creative Commons Attribution International
ZWE,Zimbabwe,Preparedness,https://data.humdata.org/dataset/zimbabwe-administrative-levels-0-2-population-statistics,2021-08-05,2021-08-05,UNFPA and Zimbabwe 2012 Census,UNFPA,Creative Commons Attribution for Intergovernmental Organisations
